Pieturas nosaukums,Pieturas kods,Vienotais kods,Platums,Garums,Ce?a puse,Ce?a numurs,Iela,Novads,Pagasts,Ciemats
Kro?auce,857,704,56.518149,23.3324619,Kreis?,P103,,T?rvetes novads,T?rvetes pagasts,Kro?auce
Agrofirma T?rvete,858,705,56.5097582,23.3385065,Lab?,P103,,T?rvetes novads,T?rvetes pagasts,Kro?auce
Agrofirma T?rvete,859,705,56.5089185,23.3389858,Kreis?,P103,,T?rvetes novads,T?rvetes pagasts,Kro?auce
Lempji,860,706,56.4984211,23.3458615,Lab?,P103,,T?rvetes novads,T?rvetes pagasts,
Lempji,861,706,56.4993738,23.3451534,Kreis?,P103,,T?rvetes novads,T?rvetes pagasts,
T?rvetes dabas parks,862,707,56.4891016,23.3643553,Lab?,P103,,T?rvetes novads,T?rvetes pagasts,T?rvete 
T?rvetes dabas parks,863,707,56.488774,23.36517,Kreis?,P103,,T?rvetes novads,T?rvetes pagasts,T?rvete 
Spr?d?ši,864,708,56.4803065,23.3809994,Lab?,P103,,T?rvetes novads,T?rvetes pagasts,T?rvete 
Spr?d?ši,865,708,56.4800835,23.3811539,Kreis?,P103,,T?rvetes novads,T?rvetes pagasts,T?rvete 
Kau?i,866,709,56.5889882,23.4679181,Lab?,P96,,Dobeles novads,Krim?nu pagasts,
Kau?i,867,709,56.5887414,23.4667891,Kreis?,P96,,Dobeles novads,Krim?nu pagasts,
Straum?ni,868,710,56.5837303,23.4509555,Lab?,P96,,Dobeles novads,Krim?nu pagasts,
Straum?ni,869,710,56.5836908,23.4506544,Kreis?,P96,,Dobeles novads,Krim?nu pagasts,
Lipsti,870,711,56.5783972,23.4367606,Lab?,P96,,Dobeles novads,Krim?nu pagasts,
Lipsti,871,711,56.578274,23.4361112,Kreis?,P96,,Dobeles novads,Krim?nu pagasts,
Ce?nieki,872,712,56.5592704,23.3924104,Lab?,P96,,Dobeles novads,Krim?nu pagasts,
Ce?nieki,873,712,56.5583104,23.3905238,Kreis?,P96,,Dobeles novads,Krim?nu pagasts,
Kro?auce,874,714,56.5186473,23.3299882,Lab?,P96,,T?rvetes novads,T?rvetes pagasts,Kro?auce
Kro?auce,875,714,56.5185828,23.3282661,Kreis?,P96,,T?rvetes novads,T?rvetes pagasts,Kro?auce
Berjozki,876,715,55.8238021,27.4341569,Lab?,A6,,Kr?slavas novads,Piedrujas pagasts,
Berjozki,877,715,55.8229355,27.4343843,Kreis?,A6,,Kr?slavas novads,Piedrujas pagasts,
Berozovka,878,716,55.8422715,27.4238636,Lab?,A6,,Kr?slavas novads,Piedrujas pagasts,
Berozovka,879,716,55.8416954,27.4242105,Kreis?,A6,,Kr?slavas novads,Piedrujas pagasts,
Aleksandrova,2643,121,55.8106738,27.4438335,Lab?,A6,,Kr?slavas novads,Piedrujas pagasts,
Aleksandrova,2621,1133,55.8104115,27.4427183,Kreis?,V631,,Kr?slavas novads,Piedrujas pagasts,
Aleksandrova,880,121,55.8107603,27.4432108,Kreis?,A6,,Kr?slavas novads,Piedrujas pagasts,
Piedrujas pagrieziens,881,717,55.8001459,27.4726308,Lab?,A6,,Kr?slavas novads,Piedrujas pagasts,
Lupandi,883,720,55.8065843,27.523042,Lab?,A6,,Kr?slavas novads,Piedrujas pagasts,
Lupandi,884,720,55.8064627,27.5240016,Kreis?,A6,,Kr?slavas novads,Piedrujas pagasts,
Skujaine,885,722,56.5063724,23.2790147,Lab?,P96,,Dobeles novads,Penkules pagasts,Skujaine
Skujaine,886,722,56.5060475,23.2771489,Kreis?,P96,,Dobeles novads,Penkules pagasts,Skujaine
Apguldes pagrieziens,887,723,56.5037644,23.2689759,Lab?,P96,,Dobeles novads,Penkules pagasts,Skujaine
Apguldes pagrieziens,888,723,56.5030687,23.2667165,Kreis?,P96,,Dobeles novads,Penkules pagasts,Skujaine
Mazku?i,889,724,56.4952198,23.2408792,Lab?,P96,,Dobeles novads,Penkules pagasts,
Mazku?i,890,724,56.4950231,23.23951,Kreis?,P96,,Dobeles novads,Penkules pagasts,
Cero?i,891,725,56.4915924,23.2247322,Lab?,P96,,Dobeles novads,,
Cero?i,892,725,56.4912533,23.2224854,Kreis?,P96,,Dobeles novads,Penkules pagasts,
Penkule,893,726,56.4847327,23.1887496,Lab?,P96,,Dobeles novads,Penkules pagasts,Penkule
Penkule,894,726,56.4848674,23.1880961,Kreis?,P96,,Dobeles novads,Penkules pagasts,Penkule
Dailes,895,727,56.4840497,23.1757508,Lab?,P96,,Dobeles novads,Penkules pagasts,Penkule
Dailes,896,727,56.4841354,23.1745761,Kreis?,P96,,Dobeles novads,Penkules pagasts,Penkule
Dr??e?i,897,728,56.4827245,23.1547725,Lab?,P96,,Dobeles novads,Penkules pagasts,
Dr??e?i,898,728,56.4828077,23.1541311,Kreis?,P96,,Dobeles novads,Penkules pagasts,
Patarnieki,899,729,55.816384,27.5891796,Lab?,A6,,Kr?slavas novads,Piedrujas pagasts,
Patarnieki,900,729,55.8168406,27.5924496,Kreis?,A6,,Kr?slavas novads,Piedrujas pagasts,
Smukas,901,731,56.4828897,23.1018926,Lab?,P96,,Dobeles novads,Penkules pagasts,
Smukas,902,731,56.4830107,23.100268,Kreis?,P96,,Dobeles novads,Penkules pagasts,
Augstkalnes pagrieziens,903,732,56.4839995,23.1274095,Lab?,P96,,Dobeles novads,Penkules pagasts,
Augstkalnes pagrieziens,904,732,56.483966,23.126463,Kreis?,P96,,Dobeles novads,Penkules pagasts,
B?ne,905,734,56.4827169,23.064996,Lab?,P96,Jelgavas iela 8,Auces novads,B?nes pagasts,B?ne
B?ne,906,734,56.4829536,23.0657337,Kreis?,P96,P96 25,Auces novads,B?nes pagasts,B?ne
B?nes rem.r.,907,735,56.4815635,23.0534377,Lab?,P96,Jelgavas iela 1B,Auces novads,B?nes pagasts,B?ne
B?nes rem.r.,908,735,56.4815264,23.0528086,Kreis?,P96,Jelgavas iela 1B,Auces novads,B?nes pagasts,B?ne
Imantas,909,736,56.4799933,23.0326711,Lab?,P96,,Auces novads,B?nes pagasts,
Imantas,910,736,56.4800472,23.0316891,Kreis?,P96,,Auces novads,B?nes pagasts,
Dzelzga?i,911,737,56.4794603,22.9967299,Lab?,P96,,Auces novads,,
Dzelzga?i,912,737,56.479599,22.9959478,Kreis?,P96,,Auces novads,,
Muižnieki,915,742,56.170702,27.8780618,Lab?,P52,,Dagdas novads,Š?aunes pagasts,Muižnieki
Muižnieki,916,742,56.1710741,27.8773423,Kreis?,P52,,Dagdas novads,Š?aunes pagasts,Muižnieki
Brici,917,743,56.1739519,27.8468367,Lab?,P52,,Dagdas novads,Š?aunes pagasts,
Brici,918,743,56.1741617,27.8456468,Kreis?,P52,,Dagdas novads,Š?aunes pagasts,
Skr?veru instit?ts,919,745,56.6267483,25.1280514,Kreis?,A6,,Skr?veru novads,,Zemkop?bas instit?ts
Skr?veru instit?ts,920,745,56.6269976,25.1269747,Lab?,A6,,Skr?veru novads,,Zemkop?bas instit?ts
Egleva,921,746,56.1822772,27.7725374,Lab?,P52,,Dagdas novads,Ezernieku pagasts,
Egleva,922,746,56.182732,27.7714744,Kreis?,P52,,Dagdas novads,Ezernieku pagasts,
Pontagi,923,747,56.1832952,27.7225511,Lab?,P52,,Dagdas novads,Ezernieku pagasts,
Pontagi,924,747,56.1832774,27.7217843,Kreis?,P52,,Dagdas novads,Ezernieku pagasts,
Vaiš?i,925,748,56.2360408,27.639388,Lab?,P55,,Dagdas novads,Ezernieku pagasts,
Vaiš?i,926,748,56.2357206,27.6393648,Kreis?,P55,,Dagdas novads,Ezernieku pagasts,
Bun?i,927,749,56.4769769,22.947344,Lab?,P96,,Auces novads,,
Bun?i,928,749,56.4762535,22.9448897,Kreis?,P96,,Auces novads,,
Irb?nu pagrieziens,929,750,56.4801926,22.9747616,Lab?,P96,,Auces novads,,
Irb?nu pagrieziens,930,750,56.4804414,22.9725724,Kreis?,P96,,Auces novads,,
Skujas,931,751,57.8619411,25.467551,Lab?,P22,,Naukš?nu novads,Naukš?nu pagasts,
Skujas,932,751,57.8623497,25.466991,Kreis?,P22,,Naukš?nu novads,Naukš?nu pagasts,
Garaudži,933,755,56.2117184,27.6532198,Lab?,P55,,Dagdas novads,Ezernieku pagasts,
Garaudzi,934,755,56.2111775,27.652813,Kreis?,P55,,Dagdas novads,Ezernieku pagasts,
M?rti?i,935,756,56.2233983,27.6444073,Lab?,P55,,Dagdas novads,Ezernieku pagasts,
M?rti?i,936,756,56.2233555,27.6444071,Kreis?,P55,,Dagdas novads,Ezernieku pagasts,
Ezernieki,938,757,56.1859157,27.6554135,Kreis?,P55,,Dagdas novads,Ezernieku pagasts,Ezernieki
Balt?,939,761,56.1418249,27.6265924,Lab?,P55,,Dagdas novads,Ezernieku pagasts,
Balt?,940,761,56.1419172,27.6266305,Kreis?,P55,,Dagdas novads,Ezernieku pagasts,
Boj?ri,941,762,56.1336986,27.6055356,Lab?,P55,,Dagdas novads,Dagdas pagasts,
Boj?ri,942,762,56.1335728,27.6047525,Kreis?,P55,,Dagdas novads,Dagdas pagasts,
Neikuri,943,763,56.1209268,27.5807313,Lab?,P55,,Dagdas novads,Dagdas pagasts,
Neikuri,944,763,56.1208169,27.5801733,Kreis?,P55,,Dagdas novads,Dagdas pagasts,
Vecdome,945,764,56.1081696,27.5566043,Lab?,P55,,Dagdas novads,Dagdas pagasts,
Vecdome,946,764,56.1078853,27.5560162,Kreis?,P55,,Dagdas novads,Dagdas pagasts,
Zundi,947,765,56.2030045,27.3187497,Lab?,P57,,Dagdas novads,Andrupenes pagasts,
Litvi?i,949,767,56.188222,27.3530404,Lab?,P57,,Dagdas novads,Andrupenes pagasts,
Litvi?i,950,767,56.1875814,27.3555689,Kreis?,P57,,Dagdas novads,Andrupenes pagasts,
Zelme?i,951,768,56.45045,23.3619975,Lab?,P95,,T?rvetes novads,T?rvetes pagasts,Zelme?i
Kakti,952,769,56.4663167,23.3803388,Kreis?,P95,,T?rvetes novads,T?rvetes pagasts,
Kakti,953,769,56.4659979,23.3797937,Lab?,P95,,T?rvetes novads,T?rvetes pagasts,Zelme?i
Šalkas,954,770,56.4340236,23.3384523,Lab?,P95,,T?rvetes novads,Augstkalnes pagasts,
Šalkas,955,770,56.4338104,23.3377927,Kreis?,P95,,T?rvetes novads,Augstkalnes pagasts,
Augstkalne,956,771,56.4052947,23.3300175,A/V,P95,,T?rvetes novads,Augstkalnes pagasts,Augstkalne
Robeža,957,773,56.3722535,23.2730848,Lab?,P95,,T?rvetes novads,Augstkalnes pagasts,
Mariampole,959,774,56.1632498,27.3981417,Lab?,P57,,Dagdas novads,Andrupenes pagasts,Mariampole
Mariampole,960,774,56.1628779,27.3979646,Kreis?,P57,,Dagdas novads,Andrupenes pagasts,Mariampole
Andi?i,961,776,56.1460368,27.4244148,Lab?,P57,,Dagdas novads,Andrupenes pagasts,
Andi?i,962,776,56.1457944,27.4248959,Kreis?,P57,,Dagdas novads,Andrupenes pagasts,
Golovanovka,963,777,56.1526411,27.4081405,Lab?,P57,,Dagdas novads,Andrupenes pagasts,
Golovanovka,964,777,56.1516696,27.4093165,Kreis?,P57,,Dagdas novads,Andrupenes pagasts,
Maisi?i,965,778,56.7226626,23.3951407,Lab?,P98,,Dobeles novads,Jaunb?rzes pagasts,
Maisi?i,966,778,56.7226626,23.3951407,Kreis?,P98,,Dobeles novads,Jaunb?rzes pagasts,
Mežinieku skola,967,782,56.7421754,23.3934195,Lab?,P98,P98 14,Dobeles novads,Jaunb?rzes pagasts,Jaunb?rze
Mežinieku skola,968,782,56.7421754,23.3934195,Kreis?,P98,P98 14,Dobeles novads,Jaunb?rzes pagasts,Jaunb?rze
An?i,969,784,56.7703983,23.3846019,Lab?,P98,,Dobeles novads,Jaunb?rzes pagasts,
An?i,970,784,56.7700104,23.3850696,Kreis?,P98,,Dobeles novads,Jaunb?rzes pagasts,
V?dzeles,971,785,56.7783758,23.3792922,Kreis?,P98,,Dobeles novads,Jaunb?rzes pagasts,
V?dzeles,972,785,56.7793445,23.3788597,Lab?,P98,,Dobeles novads,Jaunb?rzes pagasts,
Br?v?bas,974,786,56.7003089,22.9851555,Kreis?,P104,,Dobeles novads,Bikstu pagasts,
Bikstu stacija,975,787,56.6911619,22.9765305,Lab?,P104,,Dobeles novads,Bikstu pagasts,
Bikstu klubs,977,788,56.6838774,22.9640117,Lab?,P104,,Dobeles novads,Bikstu pagasts,
Bikstu klubs,978,788,56.6831708,22.9631534,Kreis?,P104,,Dobeles novads,Bikstu pagasts,
Šalkas,979,790,56.643013,22.9358057,Lab?,P104,,Dobeles novads,Bikstu pagasts,
Šalkas,980,790,56.6413643,22.9345129,Kreis?,P104,,Dobeles novads,Bikstu pagasts,
Zebrene,981,793,56.6057904,22.8915704,A/V,,,Dobeles novads,Zebrenes pagasts,Zebrene
Jakšp?teri,983,794,56.597239,22.9092121,Lab?,P104,,Dobeles novads,Zebrenes pagasts,
M?rti,984,796,56.5626441,22.8930333,Lab?,P104,,Dobeles novads,,
M?rti,985,796,56.5629329,22.8929082,Kreis?,P104,,Dobeles novads,,
Putni,986,798,56.4847408,22.8691792,Lab?,P104,,Auces novads,,
Kazimirova,988,800,56.1457944,27.4248959,Lab?,P57,,Dagdas novads,Andrupenes pagasts,
Kazimirova,989,800,56.1415641,27.4451797,Kreis?,P57,,Dagdas novads,Andrupenes pagasts,
V?ti?i,990,802,56.4413065,22.9221158,Lab?,P104,Liepu iela 2,Auces novads,V?ti?u pagasts,V?ti?i
V?ti?i,991,802,56.440463,22.922711,Kreis?,P104,,Auces novads,V?ti?u pagasts,V?ti?i
Lauku iela,992,804,56.6372153,23.2859867,Lab?,P102,,Dobeles novads,B?rzes pagasts,
Lauku iela,993,804,56.6375437,23.2862274,Kreis?,P102,,Dobeles novads,B?rzes pagasts,
Run?i,994,805,56.6467181,23.2950016,Kreis?,P102,,Dobeles novads,B?rzes pagasts,Run?i
p.s.Dobele,995,806,56.6505899,23.3039813,Lab?,P102,,Dobeles novads,B?rzes pagasts,
p.s.Dobele,996,806,56.6506533,23.3040565,Kreis?,P102,,Dobeles novads,B?rzes pagasts,
Lejas,997,807,56.658033,23.325001,Kreis?,P102,,Dobeles novads,B?rzes pagasts,
Robežnieki,998,808,56.6633813,23.3332,Lab?,P102,,Dobeles novads,B?rzes pagasts,
Robežnieki,999,808,56.6639327,23.3340282,Kreis?,P102,,Dobeles novads,Dobeles pagasts,
Gl?znieki,1000,809,56.6764911,23.3453376,Lab?,P102,,Dobeles novads,Dobeles pagasts,
Gl?znieki,1001,809,56.6770281,23.3462038,Kreis?,P102,,Dobeles novads,B?rzes pagasts,
Rasas,1002,810,56.688921,23.368606,Lab?,P102,,Dobeles novads,B?rzes pagasts,
Rasas,1003,810,56.689148,23.3687815,Kreis?,P102,,Dobeles novads,B?rzes pagasts,
Par??i,1004,811,56.6024965,23.3039356,Lab?,V1098,,Dobeles novads,Krim?nu pagasts,Par??is
V?rpji,1006,813,56.5866517,23.3333836,Lab?,V1098,,Dobeles novads,Auru pagasts,
V?rpji,1007,813,56.5859909,23.3343157,Kreis?,V1098,,Dobeles novads,Krim?nu pagasts,
Krim?nas,1009,815,56.5686315,23.376652,Kreis?,V1098,Skolas iela 3,Dobeles novads,Krim?nu pagasts,Krimúnas
Ak?cijas,1010,817,56.5527925,23.4153172,Lab?,V1098,,Dobeles novads,Krim?nu pagasts,Ak?cijas
Ak?cijas,1011,817,56.552559,23.4162504,Kreis?,V1098,,Dobeles novads,Krim?nu pagasts,Ak?cijas
Pan?kumi,1012,818,56.5400205,23.4449892,Lab?,V1098,,Dobeles novads,Krim?nu pagasts,
Pan?kumi,1013,818,56.5393936,23.4460712,Kreis?,V1098,,Dobeles novads,Krim?nu pagasts,Degu muiža
Sakas stacija,1014,819,56.852538,21.2028724,Lab?,P111,,P?vilostas novads,Sakas pagasts,
Sakas stacija,1015,819,56.8519355,21.2023633,Kreis?,P111,,P?vilostas novads,Sakas pagasts,
Dzied?t?ji,1016,820,56.8393627,21.2114297,Lab?,P111,,P?vilostas novads,Sakas pagasts,
Dzied?t?ji,1017,820,56.838778,21.2115064,Kreis?,P111,,P?vilostas novads,Sakas pagasts,
Turaidas,1018,821,56.8145712,21.2265119,Lab?,P111,,P?vilostas novads,Sakas pagasts,
Turaidas,1019,821,56.8138222,21.2261062,Kreis?,P111,,P?vilostas novads,Sakas pagasts,
Mežaine,1020,822,56.7878203,21.2474783,Lab?,P111,,P?vilostas novads,Sakas pagasts,
Ups?de,1022,823,56.7726596,21.2566205,Lab?,P111,,P?vilostas novads,Sakas pagasts,
Ups?de,1023,823,56.7722816,21.2561765,Kreis?,P111,,P?vilostas novads,Sakas pagasts,
Mežvidi,1024,824,56.7511556,21.2539515,Lab?,P111,,P?vilostas novads,Sakas pagasts,
Mežvidi,1025,824,56.750986,21.2535571,Kreis?,P111,,P?vilostas novads,Sakas pagasts,
Mazkaži,1026,825,56.7432787,21.2378467,Lab?,P111,,P?vilostas novads,V?rgales pagasts,
Mazkaži,1027,825,56.7436238,21.2383631,Kreis?,P111,,P?vilostas novads,V?rgales pagasts,
Gul?ni,1028,826,56.7334108,21.2156958,Lab?,P111,,P?vilostas novads,V?rgales pagasts,
Gul?ni,1029,826,56.7332448,21.2146779,Kreis?,P111,,P?vilostas novads,V?rgales pagasts,
V?rgale,1030,827,56.7137966,21.1752664,Lab?,P111,,P?vilostas novads,V?rgales pagasts,
V?rgale,1031,827,56.7131362,21.1739852,Kreis?,P111,,P?vilostas novads,V?rgales pagasts,
Br?veri,1032,828,56.695823,21.1624082,Lab?,P111,,P?vilostas novads,V?rgales pagasts,
Br?veri,1033,828,56.6955287,21.1617159,Kreis?,P111,,P?vilostas novads,V?rgales pagasts,
Ploce,1034,829,56.6769685,21.1391365,Lab?,P111,,P?vilostas novads,V?rgales pagasts,
Ploce,1035,829,56.6776341,21.139386,Kreis?,P111,,P?vilostas novads,V?rgales pagasts,
Medze,1036,830,56.6520781,21.1287177,Lab?,P111,,Grobi?as novads,Medzes pagasts,
Medze,1037,830,56.6511596,21.1282946,Kreis?,P111,,Grobi?as novads,Medzes pagasts,
Spilves,1038,831,56.6334349,21.1275707,Lab?,P111,,Grobi?as novads,Medzes pagasts,
Spilves,1039,831,56.6329421,21.1274268,Kreis?,P111,,Grobi?as novads,Medzes pagasts,
Kalnmalas,1040,832,56.6196272,21.1293798,Lab?,P111,,Grobi?as novads,Medzes pagasts,
Kalnmalas,1041,832,56.619026,21.1292105,Kreis?,P111,,Grobi?as novads,Medzes pagasts,
Kaps?de,1042,833,56.5902806,21.1356654,Lab?,P111,,Grobi?as novads,Medzes pagasts,Kaps?de
Kaps?de,1043,833,56.5899179,21.135201,Kreis?,P111,,Grobi?as novads,Medzes pagasts,Kaps?de
Maztramdaki,1044,835,56.5779815,21.1395212,Lab?,P111,,Grobi?as novads,Medzes pagasts,
Maztramdaki,1045,835,56.5776066,21.1392666,Kreis?,P111,,Grobi?as novads,Medzes pagasts,
G?žas,1046,836,56.5631609,21.1450603,Lab?,P111,,Grobi?as novads,Grobi?as pagasts,
G?žas,1047,836,56.5622646,21.1450209,Kreis?,P111,,Grobi?as novads,Grobi?as pagasts,
Grobi?a,1048,837,56.5408998,21.1551193,Lab?,P111,P111 10,Grobi?as novads,Grobi?as pils?ta,Grobi?a
Saul?tes,1051,839,56.7627406,21.6186561,Lab?,P112,,Aizputes novads,Lažas pagasts,
Saul?tes,1052,839,56.7626679,21.6183946,Kreis?,P112,,Aizputes novads,Lažas pagasts,
Štakeldanga,1053,840,56.7379158,21.6071427,Kreis?,P112,,Aizputes novads,Lažas pagasts,Štakeldanga
Rokasbirze,1054,841,56.7121958,21.5569808,Lab?,P112,,Aizputes novads,Aizputes pagasts,
Rokasbirze,1055,841,56.7121593,21.5556224,Kreis?,P112,,Aizputes novads,Aizputes pagasts,
Dz?rve,1056,843,56.7096014,21.4802227,Lab?,P112,,Aizputes novads,Aizputes pagasts,
Dz?rve,1057,843,56.7094067,21.479519,Kreis?,P112,,Aizputes novads,Aizputes pagasts,
Dube?i,1058,844,56.699505,21.4452523,Lab?,P112,,Aizputes novads,Aizputes pagasts,
Dube?i,1059,844,56.6998003,21.4457764,Kreis?,P112,,Aizputes novads,Aizputes pagasts,
Niedras,1060,845,56.68802,21.4074713,Lab?,P112,,Aizputes novads,C?ravas pagasts,
Niedras,1061,845,56.6879942,21.4066794,Kreis?,P112,,Aizputes novads,C?ravas pagasts,
M?li,1062,846,56.6669084,21.3823082,Lab?,P112,,Aizputes novads,C?ravas pagasts,
M?li,1063,846,56.666762,21.3816134,Kreis?,P112,,Aizputes novads,C?ravas pagasts,
T?si,1064,847,56.6594129,21.3450231,Lab?,P112,,Durbes novads,Dunalkas pagasts,
T?si,1065,847,56.6592663,21.3441671,Kreis?,P112,,Durbes novads,Dunalkas pagasts,
Upesl??i,1066,848,56.6515605,21.3219592,Lab?,P112,,Durbes novads,Dunalkas pagasts,
Upesl??i,1067,848,56.6515478,21.3213144,Kreis?,P112,,Durbes novads,Dunalkas pagasts,
Aistere,1068,849,56.6398435,21.2986797,Lab?,P112,,Durbes novads,Tadai?u pagasts,
Aistere,1069,849,56.640287,21.2988352,Kreis?,P112,,Durbes novads,Tadai?u pagasts,
Birznieki,1070,850,56.6099346,21.2872093,Lab?,P112,,Durbes novads,Tadai?u pagasts,
Birznieki,1071,850,56.6094612,21.2867337,Kreis?,P112,,Durbes novads,Tadai?u pagasts,
Smilškalni,1072,851,56.5882409,21.2714421,Lab?,P112,,Durbes novads,Tadai?u pagasts,
Smilškalni,1073,851,56.587776,21.2708333,Kreis?,P112,,Durbes novads,Tadai?u pagasts,
L??i,1074,852,56.5663929,21.2711691,Lab?,P112,,Durbes novads,Tadai?u pagasts,
L??i,1075,852,56.5669645,21.2714813,Kreis?,P112,,Durbes novads,Tadai?u pagasts,
Grobi?as lauktehnika,1076,853,56.5330659,21.1581452,Kreis?,P113,,Grobi?as novads,Grobi?as pils?ta,Grobi?a
Mal?ji,1077,854,56.5161387,21.1652165,Kreis?,P113,,Grobi?as novads,Grobi?as pagasts,
Dube?i,1078,856,56.4932745,21.1807894,Kreis?,P113,,Grobi?as novads,Grobi?as pagasts,
Zv?rsaimniec?ba,1079,858,56.4755621,21.1985617,Kreis?,P113,,Grobi?as novads,Grobi?as pagasts,Dube?i
Tilti,1080,859,56.4273277,21.2204777,Kreis?,P113,,Grobi?as novads,Grobi?as pagasts,Tilti
??buri,1081,861,56.3941008,21.2443253,Kreis?,P113,,Grobi?as novads,B?rtas pagasts,
B?rta,1082,865,56.3509124,21.3218817,Kreis?,P113,,Grobi?as novads,B?rtas pagasts,B?rta
?esteri,1083,867,56.3268208,21.3134961,Kreis?,P113,,Rucavas novads,Dunikas pagasts,
Akmenti?i,1084,869,56.2862421,21.3354306,Kreis?,P113,,Rucavas novads,Dunikas pagasts,
Dunika,1085,870,56.2759865,21.3253209,Kreis?,P113,,Rucavas novads,Dunikas pagasts,
Šu?ene,1086,871,56.2566274,21.2927864,Kreis?,P113,,Rucavas novads,Dunikas pagasts,
Sudargi,1087,874,56.2148601,21.2545834,Kreis?,P113,,Rucavas novads,Dunikas pagasts,
Kli??i,1088,875,56.2079693,21.2227181,Kreis?,P113,,Rucavas novads,Rucavas pagasts,
Skaistkalni,1089,876,56.1992807,21.2083723,Kreis?,P113,,Rucavas novads,Rucavas pagasts,
???iš?e,1090,877,56.1895723,21.1874368,Kreis?,P113,,Rucavas novads,Rucavas pagasts,???iš?e
D?rznieki,1091,879,56.4188672,21.6109644,Kreis?,P114,,Priekules novads,Priekules pagasts,
Mazgramzda,1092,880,56.4019566,21.6255404,Kreis?,P114,,Priekules novads,Priekules pagasts,
Tikai?i,1093,6909,56.9452545,27.1892805,Lab?,V464,,Rug?ju novads,Rug?ju pagasts,Tikai?i
Gramzda,1094,882,56.3682645,21.6036043,Kreis?,P114,P114 5,Priekules novads,Gramzdas pagasts,Gramzda
Pakaln?š?i,1095,885,56.3119554,21.5496946,Kreis?,P114,,Priekules novads,Kal?tu pagasts,
Ra?i,1096,886,56.6984876,21.6308849,Lab?,P115,,Aizputes novads,Lažas pagasts,
Z???tava,1097,887,56.685977,21.6414398,Lab?,P115,,Aizputes novads,Kazdangas pagasts,Tebras
Bojas,1098,888,56.6604389,21.6435039,Lab?,P115,,Aizputes novads,Kazdangas pagasts,
Rube?i,1099,889,56.6471892,21.6581011,Lab?,P115,,Aizputes novads,Kazdangas pagasts,
Sedoli,1100,890,56.635719,21.6735207,Lab?,P115,,Aizputes novads,Kalvenes pagasts,
Kapši,1101,892,56.7151922,21.7609518,Lab?,P117,,Aizputes novads,Kazdangas pagasts,
Kapši,1102,892,56.7154651,21.7609157,Kreis?,P117,,Aizputes novads,Kazdangas pagasts,
Kazdanga,1103,893,56.7294764,21.7339526,Lab?,P117,,Aizputes novads,Kazdangas pagasts,Kazdanga
Kazdanga,1104,893,56.7294038,21.7349702,Kreis?,P117,,Aizputes novads,Kazdangas pagasts,Kazdanga
Z?les,1105,894,56.7337701,21.6944868,Lab?,P117,,Aizputes novads,Kazdangas pagasts,
Z?les,1106,894,56.7341068,21.6941448,Kreis?,P117,,Aizputes novads,Kazdangas pagasts,
Rokaiži,1107,895,56.7312245,21.6641468,Lab?,P117,,Aizputes novads,Kazdangas pagasts,
Rokaiži,1108,895,56.7309609,21.6630645,Kreis?,P117,,Aizputes novads,Kazdangas pagasts,
Druvas,1109,896,56.7262244,21.6482534,Lab?,P117,,Aizputes novads,Kazdangas pagasts,
Druvas,1110,896,56.7265793,21.6487447,Kreis?,P117,,Aizputes novads,Kazdangas pagasts,
D?rzi?i,1111,897,56.609524,21.0380117,Kreis?,V1188,,Grobi?as novads,Medzes pagasts,Š??de
Zvaigznes,1112,900,56.6216006,21.0426317,Kreis?,V1188,,Grobi?as novads,Medzes pagasts,
Nami?i,1113,901,56.6279284,21.0485049,Kreis?,V1188,,Grobi?as novads,Medzes pagasts,
Š??de,1114,902,56.6401675,21.0451344,Kreis?,V1188,,P?vilostas novads,V?rgales pagasts,
Vaski,1115,903,56.6535208,21.0540863,Kreis?,V1188,,P?vilostas novads,V?rgales pagasts,
Kopdarbs,1116,904,56.6626571,21.0742365,Kreis?,V1188,Ziemupes iela 1,P?vilostas novads,V?rgales pagasts,Sarai?i
Ziemupe,2610,31,56.7485373,21.0780279,A/V,V1188,,P?vilostas novads,V?rgales pagasts,Ziemupe
Aptieka,1121,910,56.7118151,21.1786161,Kreis?,V1191,,P?vilostas novads,V?rgales pagasts,
Bebe,1122,912,56.6735965,21.2339596,Kreis?,V1191,,P?vilostas novads,V?rgales pagasts,
Dekš?as,1123,914,56.772031,21.4729495,Kreis?,V1192,,Aizputes novads,Lažas pagasts,
Dz?rves skola,1125,917,56.750229,21.4048072,Kreis?,V1192,,Aizputes novads,C?ravas pagasts,Dz?rves skola
C?rava,4200,918,56.7364676,21.3853288,Lab?,V1192,,Aizputes novads,C?ravas pagasts,Círava
C?rava,1126,918,56.736599,21.3851562,Kreis?,V1192,,Aizputes novads,C?ravas pagasts,Círava
Binderi,1127,921,56.7112911,21.3059057,Kreis?,V1192,,Durbes novads,Dunalkas pagasts,
Ilm?jas stacija,1128,924,56.5745491,21.5508744,Kreis?,P114,,Priekules novads,Bunkas pagasts,
Krote,1129,926,56.5423458,21.5477195,Kreis?,P114,Ata Kronvalda iela 12,Priekules novads,Bunkas pagasts,Krote
P?rles,1130,927,56.5150294,21.5682559,Kreis?,P114,,Priekules novads,Bunkas pagasts,
Robežnieki,1131,928,56.4932209,21.5727953,Kreis?,P114,,Priekules novads,Bunkas pagasts,
Kn?veri,1132,929,56.4721001,21.5832598,Lab?,P114,,Priekules novads,Priekules pagasts,
