Pieturas nosaukums,Pieturas kods,Vienotais kods,Platums,Garums,Ce?a puse,Ce?a numurs,Iela,Novads,Pagasts,Ciemats
MRS,6638,5195,56.6495626,22.466097,Kreis?,V1180,,Saldus novads,Novadnieku pagasts,
S?ti?u skola,6639,5196,56.6451416,22.4374633,Lab?,V1180,,Saldus novads,Novadnieku pagasts,S?ti?i
S?ti?u skola,6640,5196,56.6459776,22.4393821,Kreis?,V1180,,Saldus novads,Novadnieku pagasts,S?ti?i
Dubaskrogs,6643,5202,56.6090052,22.3649064,Lab?,V1180,,Saldus novads,Novadnieku pagasts,
T?les,6645,5203,56.6053129,22.3450764,Lab?,V1180,,Saldus novads,Novadnieku pagasts,
T?les,6646,5203,56.6055904,22.3459849,Kreis?,V1180,,Saldus novads,Novadnieku pagasts,
Ma??i,6647,5205,56.5923381,22.2845492,Lab?,V1180,,Saldus novads,Zir?u pagasts,
Ma??i,6648,5205,56.5919759,22.282903,Kreis?,V1180,,Saldus novads,Novadnieku pagasts,
Veldres,6649,5207,56.5821556,22.2447585,Lab?,V1180,,Saldus novads,Pamp??u pagasts,
Veldres,6650,5207,56.5820597,22.2438125,Kreis?,V1180,,Saldus novads,Pamp??u pagasts,
Auni?i,6651,5209,56.5681611,22.1989886,Lab?,V1180,,Saldus novads,Pamp??u pagasts,Auni?i
Auni?i,6652,5209,56.5671297,22.197961,Kreis?,V1180,,Saldus novads,Pamp??u pagasts,Auni?i
B?rzu pagrieziens,6654,5210,56.8181596,22.51864,Kreis?,V1298,,Broc?nu novads,Gai?u pagasts,
Sati?i,6655,5211,56.8038143,22.5268634,Lab?,V1298,Dzirnavu iela ,Broc?nu novads,Gai?u pagasts,Sati?i
Sati?i,6656,5211,56.8037373,22.5268641,Kreis?,V1298,Dzirnavu iela ,Broc?nu novads,Gai?u pagasts,Sati?i
B?rzi,6657,5213,56.829995,22.5612305,A/V,V1430,,Broc?nu novads,Gai?u pagasts,
Kapenieki,6658,5214,56.8197144,22.546543,Lab?,V1430,,Broc?nu novads,Gai?u pagasts,Lielsati?i
Kapenieki,6659,5214,56.8196921,22.546387,Kreis?,V1430,,Broc?nu novads,Gai?u pagasts,Lielsati?i
Gai?u skola,6660,5217,56.7846284,22.5622354,Lab?,V1430,,Broc?nu novads,Gai?u pagasts,
Gai?u skola,6661,5217,56.7847,22.56208,Kreis?,V1430,,Broc?nu novads,Gai?u pagasts,
